Number,Replicate,Sample,Soil Mass (g),Conc. (ng/Î¼L),Amount (ng),A60/A280,A260/A230
JW_1,1,AC1,0.25,41.6,2080,1.9,1.87
JW_2,1,AC2,0.25,44.1,2205,1.93,1.7
JW_33,2,AC3,0.25,40.6,2030,1.97,1.64
JW_34,2,AC4,0.25,51.6,2580,1.93,2.06
JW_82,3,AC5,0.25,18.1,905,1.89,1.52
JW_96,3,AC6,0.25,14.1,1410,1.91,0.08
JW_3,1,AHI1,0.25,20.6,1030,1.98,0.55
JW_35,2,AHI2,0.25,16.7,835,1.98,1.81
JW_65,3,AHI3,0.25,10.2,510,1.91,0.42
JW_4,1,ALO1,0.25,20.3,1015,1.91,1.99
JW_36,2,ALO2,0.25,17.4,870,1.79,1.21
JW_89,3,ALO3,0.25,21.3,2130,1.97,1.24
JW_5,1,BC1,0.25,32,1600,1.99,1.14
JW_6,1,BC2,0.25,12.2,610,1.88,0.13
JW_37,2,BC3,0.25,21.2,1060,1.95,1
JW_38,2,BC4,0.25,26.6,1330,1.97,1.83
JW_66,3,BC5,0.25,20.5,2050,1.78,1.11
JW_73,3,BC6,0.25,46.2,2310,1.88,1.06
JW_7,1,BHI1,0.25,49.3,2465,1.87,2.03
JW_39,2,BHI2,0.25,16,800,1.87,1.95
JW_69,3,BHI3,0.25,32.1,1605,1.93,0.04
JW_8,1,BLO1,0.25,8.4,420,1.74,0.09
JW_40,2,BLO2,0.25,19.1,955,1.98,1.85
JW_93,3,BLO3,0.25,19.7,985,1.88,1.66
JW_9,1,CC1,0.25,20,1000,1.82,1.38
JW_10,1,CC2,0.25,35.3,1765,1.93,1.88
JW_41,2,CC3,0.25,28.2,1410,1.89,1.36
JW_42,2,CC4,0.25,31.9,1595,1.88,2.08
JW_86,3,CC5,0.25,17.5,1750,2.09,0.68
JW_90,3,CC6,0.25,39.2,3920,1.93,0.48
JW_11,1,CHI1,0.25,21.9,1095,1.99,1.99
JW_43,2,CHI2,0.25,38.6,1930,1.93,1.77
JW_95,3,CHI3,0.25,27.6,2760,1.85,1.35
JW_12,1,CLO1,0.25,32.5,1625,1.92,1.77
JW_44,2,CLO2,0.25,29.6,1480,1.93,1.92
JW_84,3,CLO3,0.25,16.3,1630,2.09,1.08
JW_13,1,DC1,0.25,11.5,575,1.89,1.06
JW_14,1,DC2,0.25,5.7,285,2.22,1.05
JW_45,2,DC3,0.25,17.2,860,1.88,1.36
JW_46,2,DC4,0.25,12.4,620,1.91,1.34
JW_74,3,DC5,0.25,6.8,680,2.03,0.55
JW_81,3,DC6,0.25,36,1800,1.93/2.13,1.16/.33
JW_15,1,DHI1,0.25,13.1,655,1.75,1.55
JW_47,2,DHI2,0.25,4.6,230,1.94,0.18
JW_75,3,DHI3,0.25,45.6,4560,1.83,0.33
JW_16,1,DLO1,0.25,30.6,1530,1.93,1.64
JW_48,2,DLO2,0.25,28,1400,1.82,0.83
JW_88,3,DLO3,0.25,20,2000,1.94,0.34
JW_17,1,EC1,0.25,10.3,515,1.88,1.05
JW_18,1,EC2,0.25,7.6,380,1.82,0.23
JW_49,2,EC3,0.25,22.1,1105,1.86,0.8
JW_50,2,EC4,0.25,6.3,315,1.7,0.66
JW_71,3,EC5,0.25,21.2,1060,1.78,0.84
JW_76,3,EC6,0.25,15.5,775,1.89,1.09
JW_19,1,EHI1,0.25,11.5,575,2.13,0.06
JW_51,2,EHI2,0.25,6.9,345,1.6,0.91
JW_79,3,EHI3,0.25,12.2,1220,2.17,0.93
JW_20,1,ELO1,0.25,13.6,680,1.59,0.52
JW_52,2,ELO2,0.25,8,400,2.08,0.44
JW_77,3,ELO3,0.25,10.6,530,2.05/2.33,.51/.53
JW_21,1,FC1,0.25,11.6,580,1.77,0.91
JW_22,1,FC2,0.25,9.1,455,1.48,0.62
JW_53,2,FC3,0.25,20.1,1005,1.94,1.91
JW_54,2,FC4,0.25,8.7,435,1.94,0.6
JW_67,3,FC5,0.25,13.3,1330,1.71,0.56
JW_83,3,FC6,0.25,33.9,3390,1.92,0.95
JW_23,1,FHI1,0.25,23,1150,1.79,1.02
JW_55,2,FHI2,0.25,15.6,780,1.91,0.53
JW_68,3,FHI3,0.25,34.4,1720,1.96/1.89,1.67/1.64
JW_24,1,FLO1,0.25,23.1,1155,1.92,1.78
JW_56,2,FLO2,0.25,26.2,1310,1.84,1.6
JW_78,3,FLO3,0.25,36.7,3670,1.85,1.14
JW_25,1,GC1,0.25,19.6,980,1.95,1.1
JW_26,1,GC2,0.25,12,600,1.86,1.14
JW_57,2,GC3,0.25,48.8,2440,1.91,0.83
JW_58,2,GC4,0.25,25.5,1275,1.95,1.57
JW_70,3,GC5,0.25,32.5,3250,1.95,0.51
JW_94,3,GC6,0.25,6.5,650,1.73,0.23
JW_27,1,GHI1,0.25,30.6,1530,1.84,2.21
JW_59,2,GHI2,0.25,65.2,3260,1.91,1
JW_72,3,GHI3,0.25,69.1,3455,1.87,1.71
JW_28,1,GLO1,0.25,29.1,1455,1.87,0.9
JW_60,2,GLO2,0.25,30.9,1545,1.95,1.63
JW_87,3,GLO3,0.25,17.5,1750,2.09,0.4
JW_29,1,HC1,0.25,28.8,1440,1.95,1.77
JW_30,1,HC2,0.25,33.7,1685,1.93,1.2
JW_61,2,HC3,0.25,22,1100,1.92,1.59
JW_62,2,HC4,0.25,25.7,1285,1.88,0.68
JW_80,3,HC5,0.25,20,2000,1.91,0.46
JW_85,3,HC6,0.25,22.8,2280,1.96,0.35
JW_31,1,HHI1,0.25,93.7,4685,1.92,2.07
JW_63,2,HHI2,0.25,45.6,4560,1.94,0.19
JW_91,3,HHI3,0.25,12.4,1240,1.81,0.85
JW_32,1,HLO1,0.25,23,1150,1.93,0.66
JW_64,2,HLO2,0.25,37.6,1880,1.93,1.71
JW_92,3,HLO3,0.25,31.2,3120,1.82,0.67
JW_97,1,MycoBloom1,0.25,2.5,250,1.57,0.42
JW_98,,NTC2,,,,,
JW_99,,NTC3,,,,,
JW_100,,NTC4,,,,,
